mp_id,full_name,club,mandate_status,district_number,label,count,url
062,Katarzyna Czochara,PiS,aktywny,21,Wypowiedzi,30,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=062&type=P&symbol=WYPOWIEDZI_POSLA
063,Sławomir Ćwik,Polska2050-TD,aktywny,7,Wypowiedzi,176,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=063&type=P&symbol=WYPOWIEDZI_POSLA
064,Władysław Dajczak,PiS,aktywny,8,Wypowiedzi,130,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=064&type=P&symbol=WYPOWIEDZI_POSLA
065,Anna Dąbrowska-Banaszek,PiS,aktywny,7,Wypowiedzi,120,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=065&type=P&symbol=WYPOWIEDZI_POSLA
066,Zbigniew Dolata,PiS,aktywny,37,Wypowiedzi,45,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=066&type=P&symbol=WYPOWIEDZI_POSLA
067,Barbara Dolniak,KO,aktywny,32,Wypowiedzi łącznie,1,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=067&type=P&symbol=WYPOWIEDZI_POSLA
068,Andrzej Domański,KO,aktywny,19,Wypowiedzi łącznie,24,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=068&type=P&symbol=WYPOWIEDZI_POSLA
069,Bartłomiej Dorywalski,PiS,aktywny,33,Wypowiedzi,97,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=069&type=P&symbol=WYPOWIEDZI_POSLA
070,Robert Dowhan,KO,aktywny,8,Wypowiedzi,7,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=070&type=P&symbol=WYPOWIEDZI_POSLA
071,Przemysław Drabek,PiS,aktywny,27,Wypowiedzi,4,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=071&type=P&symbol=WYPOWIEDZI_POSLA
072,Elżbieta Duda,PiS,aktywny,13,Wypowiedzi,13,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=072&type=P&symbol=WYPOWIEDZI_POSLA
073,Michał Paweł Dworczyk,PiS,wygasl,2,Brak aktywności,,
074,Adam Dziedzic,PSL-TD,aktywny,23,Wypowiedzi łącznie,1,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=074&type=P&symbol=WYPOWIEDZI_POSLA
075,Jan Michał Dziedziczak,PiS,aktywny,36,Wypowiedzi,22,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=075&type=P&symbol=WYPOWIEDZI_POSLA
076,Agnieszka Dziemianowicz-Bąk,Lewica,aktywny,26,Wypowiedzi łącznie,42,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=076&type=P&symbol=WYPOWIEDZI_POSLA
077,Magdalena Filiks,KO,aktywny,41,Wypowiedzi,3,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=077&type=P&symbol=WYPOWIEDZI_POSLA
078,Magdalena Filipek-Sobczak,PiS,aktywny,6,Wypowiedzi łącznie,10,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=078&type=P&symbol=WYPOWIEDZI_POSLA
079,Radosław Fogiel,PiS,aktywny,17,Wypowiedzi,32,https://www.sejm.gov.pl/sejm10.nsf/wypowiedzi.xsp?id=079&type=P&symbol=WYPOWIEDZI_POSLA
