mp_id,full_name,club,mandate_status,district_number,present_votes,total_votes,participation,details_url
333,Edward Siarka,PiS,aktywny,14,2308,2586,89.25%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=333
334,Krystyna Sibińska,KO,aktywny,8,2389,2586,92.38%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=334
335,Czesław Siekierski,PSL-TD,aktywny,33,1811,2586,70.03%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=335
336,Rafał Siemaszko,KO,aktywny,26,2577,2586,99.65%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=336
337,Tomasz Siemoniak,KO,aktywny,21,2524,2586,97.60%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=337
338,Bartłomiej Sienkiewicz,KO,wygasl,13,369,446,82.74%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=338
339,Arkadiusz Sikora,Lewica,aktywny,1,2446,2586,94.59%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=339
340,Włodzimierz Skalik,Konfederacja_KP,aktywny,21,2495,2586,96.48%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=340
341,Marcin Skonieczka,Polska2050-TD,aktywny,5,2578,2586,99.69%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=341
342,Krystyna Skowrońska,KO,aktywny,23,2578,2586,99.69%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=342
343,Sławomir Skwarek,PiS,aktywny,6,2512,2586,97.14%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=343
344,Waldemar Sługocki,KO,aktywny,8,2420,2586,93.58%,https://www.sejm.gov.pl/Sejm10.nsf/GlosowaniaPoslaStat.xsp?nrLeg=344
